Date,Close
3/16/2015 16:00:00,106.84
3/17/2015 16:00:00,106.95
3/18/2015 16:00:00,108.24
3/19/2015 16:00:00,108.15
3/20/2015 16:00:00,108.77
3/23/2015 16:00:00,108.8
3/24/2015 16:00:00,108.5
3/25/2015 16:00:00,105.52
3/26/2015 16:00:00,105.59
3/27/2015 16:00:00,105.85
3/30/2015 16:00:00,107.05
3/31/2015 16:00:00,106.52
4/1/2015 16:00:00,105.67
4/2/2015 16:00:00,105.66
4/6/2015 16:00:00,106.65
4/7/2015 16:00:00,106.53
4/8/2015 16:00:00,106.91
4/9/2015 16:00:00,107.35
4/10/2015 16:00:00,107.82
4/13/2015 16:00:00,107.37
4/14/2015 16:00:00,106.98
4/15/2015 16:00:00,107.95
4/16/2015 16:00:00,107.73
4/17/2015 16:00:00,106.08
4/20/2015 16:00:00,107.81
4/21/2015 16:00:00,107.9
4/22/2015 16:00:00,108.94
4/23/2015 16:00:00,109.2
4/24/2015 16:00:00,109.82
4/27/2015 16:00:00,110.07
4/28/2015 16:00:00,110.19
4/29/2015 16:00:00,109.68
4/30/2015 16:00:00,107.89
5/1/2015 16:00:00,109.27
5/4/2015 16:00:00,109.35
5/5/2015 16:00:00,107.64
5/6/2015 16:00:00,107.03
5/7/2015 16:00:00,107.8
5/8/2015 16:00:00,109.32
5/11/2015 16:00:00,108.89
5/12/2015 16:00:00,108.32
5/13/2015 16:00:00,108.84
5/14/2015 16:00:00,110.57
5/15/2015 16:00:00,110.26
5/18/2015 16:00:00,110.83
5/19/2015 16:00:00,110.69
5/20/2015 16:00:00,110.66
5/21/2015 16:00:00,111.04
5/22/2015 16:00:00,111.08
5/26/2015 16:00:00,109.54
5/27/2015 16:00:00,111.41
5/28/2015 16:00:00,111.35
5/29/2015 16:00:00,110.58
6/1/2015 16:00:00,110.91
6/2/2015 16:00:00,110.65
6/3/2015 16:00:00,111.06
6/4/2015 16:00:00,110.02
6/5/2015 16:00:00,109.98
6/8/2015 16:00:00,108.6
6/9/2015 16:00:00,108.41
6/10/2015 16:00:00,110.05
6/11/2015 16:00:00,110.07
6/12/2015 16:00:00,109.28
6/15/2015 16:00:00,108.68
6/16/2015 16:00:00,109.36
6/17/2015 16:00:00,109.52
6/18/2015 16:00:00,110.44
6/19/2015 16:00:00,109.64
6/22/2015 16:00:00,110.37
6/23/2015 16:00:00,110.43
6/24/2015 16:00:00,109.82
6/25/2015 16:00:00,109.55
6/26/2015 16:00:00,108.49
6/29/2015 16:00:00,106.02
6/30/2015 16:00:00,106.23
7/1/2015 16:00:00,106.8
7/2/2015 16:00:00,106.89
7/6/2015 16:00:00,106.45
7/7/2015 16:00:00,106.47
7/8/2015 16:00:00,104.67
7/9/2015 16:00:00,104.44
7/10/2015 16:00:00,105.99
7/13/2015 16:00:00,107.55
7/14/2015 16:00:00,108.07
7/15/2015 16:00:00,108.1
7/16/2015 16:00:00,109.34
7/17/2015 16:00:00,110.85
7/20/2015 16:00:00,111.34
7/21/2015 16:00:00,110.81
7/22/2015 16:00:00,109.25
7/23/2015 16:00:00,109.06
7/24/2015 16:00:00,108.31
7/27/2015 16:00:00,107.21
7/28/2015 16:00:00,108.29
7/29/2015 16:00:00,108.86
7/30/2015 16:00:00,109.12
7/31/2015 16:00:00,108.64
8/3/2015 16:00:00,107.99
8/4/2015 16:00:00,107.32
8/5/2015 16:00:00,108.37
8/6/2015 16:00:00,107.24
8/7/2015 16:00:00,107.33
8/10/2015 16:00:00,108.97
8/11/2015 16:00:00,107.19
8/12/2015 16:00:00,107.71
8/13/2015 16:00:00,107.44
8/14/2015 16:00:00,108.01
8/17/2015 16:00:00,108.71
8/18/2015 16:00:00,108.03
8/19/2015 16:00:00,107.14
8/20/2015 16:00:00,104.38
8/21/2015 16:00:00,100.46
8/24/2015 16:00:00,96.8
8/25/2015 16:00:00,95.76
8/26/2015 16:00:00,100.54
8/27/2015 16:00:00,102.96
8/28/2015 16:00:00,103.18
8/31/2015 16:00:00,102.34
9/1/2015 16:00:00,99.08
9/2/2015 16:00:00,101.4
9/3/2015 16:00:00,101.5
9/4/2015 16:00:00,100.03
9/8/2015 16:00:00,102.82
9/9/2015 16:00:00,101.58
9/10/2015 16:00:00,102.58
9/11/2015 16:00:00,103.08
9/14/2015 16:00:00,102.78
9/15/2015 16:00:00,104.09
9/16/2015 16:00:00,104.66
9/17/2015 16:00:00,104.09
9/18/2015 16:00:00,102.79
9/21/2015 16:00:00,103.64
9/22/2015 16:00:00,102.02
9/23/2015 16:00:00,101.18
9/24/2015 16:00:00,101.08
9/25/2015 16:00:00,100.84
9/28/2015 16:00:00,98.46
9/29/2015 16:00:00,97.95
9/30/2015 16:00:00,100
10/1/2015 16:00:00,100.05
10/2/2015 16:00:00,101.57
10/5/2015 16:00:00,103.59
10/6/2015 16:00:00,103.83
10/7/2015 16:00:00,104.39
10/8/2015 16:00:00,104.9
10/9/2015 16:00:00,105.45
10/12/2015 16:00:00,105.54
